"","lat","long","sog","cog","heading","rot","nav_stt","timestamp","mmsi","shiptype","ship_name","year_of_build","country_of_build","ship_status_eff_date","ship_type_group","ship_type_level2","flag_code","flag_eff_date","flag_name","port_of_registry","call_sign","charterer_latest_reported","class_narrative","displacement","draught","length_registered","net_tonnage","pandi_club","sale_price_usd","doc_company","group_ben_owner","group_ben_ownercountry_ofcontrol","operator","registered_owner","registered_owner_countryofregistration","ship_manager","ship_manager_countryofcontrol","technical_mgr","ship_builder","grosstonnage","deadweight","lengthoverallloa","lengthbetweenperpendicularslbp","countryofeconomicbenefit","fueltype1capacity","fueltype1code","fueltype1first"
"367","42.19388","41.60478","0.10000000149011612","197.8000030517578","119.0","0.0","1.0","2022-02-16 03:07:00",271048139,"75","TOMRIS-E",2001,"Turkey",20011002,"Tanker-<=4,999dwt","Tankers","TRK",202012,"Turkey","Istanbul","TCA6127","","Turk Loydu (2021-03-00) TL: Class Notation: (+)1A5 FS ICE-B OIL TANKER ESP, (+)M AUT ICE-B CM-PS",6102,6.14,86.616,1268,"Gard","NULL","Alasonya Denizcilik Tic Ltd","Alasonya Denizcilik Tic Ltd","Turkey","Alasonya Denizcilik Tic Ltd","Alasonya Denizcilik Tic Ltd","Turkey","Alasonya Denizcilik Tic Ltd","Turkey","Alasonya Denizcilik Tic Ltd","RMK Marine Gemi Yapim",2654,4454,92.27,86.34,"Turkey",92,"DF","Distillate Fuel"
"368","40.8806","29.175283","0.10000000149011612","41.0","511.0","-128.0","1.0","2022-02-16 13:20:00",577363000,"75","YUZER 1",1982,"Germany, Federal Republic Of",20090425,"General Cargo <=4,999 dwt","Dry Cargo/Passenger","VAN",201611,"Vanuatu","Port Vila","YJWD6","","Bulgarski Koraben Registar (2016-11-00)",4250,4.68,85.69,1070,"Unknown",650000,"Y&S Shipping Co Int Co","Unknown","","Y&S Shipping Co Int Co","Y&S Shipping Co Int Co","Marshall Islands","Y&S Shipping Co Int Co","","Y&S Shipping Co Int Co","Sietas Schiffswerft Kg",1939,3300,87.97,85.37,"Turkey",".00","YY","Yes, But Type Not Known"
"369","40.74156","28.100566999999998","11.300000190734865","86.4000015258789","91.0","0.0","0.0","2022-02-16 23:23:00",271043916,"75","T. ESRA",2014,"Turkey",20140919,"","Tankers","TRK",201409,"Turkey","Istanbul","TCA3220","","Det Norske Veritas (2014-09-00)Survey Type: Date: 2014-09  NV: Special Survey Date: 2019-12-27 Class Notation: (+) 1A1 Tanker for asphalt/bitumen and oil products with FP above 60oC BIS BWM(T) CCO COAT-PSPC(V; B) E0 ECA(SOx-A) ESP HL(1.3) HOT(250 oC. ) NAUT(OC) Recyclable TMON VCS(1, B)",0,9.266,149.924,4702,"Skuld","NULL","Ditas Deniz Isletmeciligi","TUPRAS","Turkey","Ditas Deniz Isletmeciligi","Kartal Tankercilik AS","Turkey","Ditas Deniz Isletmeciligi","Turkey","Ditas Deniz Isletmeciligi","RMK Marine Gemi Yapim",15674,19968,156.453,147.853,"Turkey",101,"DF","Distillate Fuel"
"370","40.88065","29.1753","0.10000000149011612","6.0","511.0","-128.0","1.0","2022-02-16 13:23:00",577363000,"75","YUZER 1",1982,"Germany, Federal Republic Of",20090425,"General Cargo <=4,999 dwt","Dry Cargo/Passenger","VAN",201611,"Vanuatu","Port Vila","YJWD6","","Bulgarski Koraben Registar (2016-11-00)",4250,4.68,85.69,1070,"Unknown",650000,"Y&S Shipping Co Int Co","Unknown","","Y&S Shipping Co Int Co","Y&S Shipping Co Int Co","Marshall Islands","Y&S Shipping Co Int Co","","Y&S Shipping Co Int Co","Sietas Schiffswerft Kg",1939,3300,87.97,85.37,"Turkey",".00","YY","Yes, But Type Not Known"
"371","40.827442","28.899006","1.100000023841858","350.3999938964844","2.0","0.0","0.0","2022-02-16 22:17:00",371999000,"75","FILIA JOY",2009,"China, People's Republic Of",20091104,"Bulk Carrier-Supra/Ultramax","Bulk Carriers","PAN",200911,"Panama","Panama","3FIN9","CNR","Bureau Veritas (2009-09-00)Survey Type: Date: 2009-11  BV: Special Survey Date: 2019-12-13 Class Notation: I Bulk carrier BC-A ( maximum cargo density 3.00 t/m3; holds 2,4 may be empty) ESP, VeriSTAR-HULL ,  AUT-UMS , MON-SHAFT , INWATERSURVEY Service Restriction: Unrestricted navigation",63708,12.49,183.04,18159,"North of England","NULL","Pitiousa Shipping SA","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Filia Joy Shipping Co SA","Panama","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Yangzhou Dayang Shipbuilding",31117,53473,189.99,182,"Greece",230,"DF","Distillate Fuel"
"372","40.787292","28.89558","0.30000001192092896","124.1999969482422","48.0","0.0","0.0","2022-02-16 22:32:00",538008955,"75","DORYSIA",2010,"Korea, South",20101026,"Bulk Carrier-Large Handy","Bulk Carriers","MAI",202005,"Marshall Islands","Majuro","V7A2947","Jlauritzen","Det Norske Veritas (2020-05-00) NV: Special Survey Date: 2020-12-24 Class Notation: (+) 1A1 Bulk carrier BC(A) BIS BWM(E(s)) COAT-PSPC(B) CSR E0 ESP Grab(20 t) Holds(2,4)may be empty TMON",45337,10.918,178.93,12334,"Gard",8900000,"Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","","Caliber Maritime SA-LIB","Hyundai Mipo Dockyard Co Ltd",22691,36863,187,178,"Greece",160,"DF","Distillate Fuel"
"373","40.825615","28.918217","0.30000001192092896","321.79998779296875","10.0","0.0","0.0","2022-02-16 06:47:00",538008955,"75","DORYSIA",2010,"Korea, South",20101026,"Bulk Carrier-Large Handy","Bulk Carriers","MAI",202005,"Marshall Islands","Majuro","V7A2947","Jlauritzen","Det Norske Veritas (2020-05-00) NV: Special Survey Date: 2020-12-24 Class Notation: (+) 1A1 Bulk carrier BC(A) BIS BWM(E(s)) COAT-PSPC(B) CSR E0 ESP Grab(20 t) Holds(2,4)may be empty TMON",45337,10.918,178.93,12334,"Gard",8900000,"Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","","Caliber Maritime SA-LIB","Hyundai Mipo Dockyard Co Ltd",22691,36863,187,178,"Greece",160,"DF","Distillate Fuel"
"374","40.82873","28.92652","1.2999999523162842","230.6000061035156","195.0","0.0","0.0","2022-02-16 03:07:00",371999000,"75","FILIA JOY",2009,"China, People's Republic Of",20091104,"Bulk Carrier-Supra/Ultramax","Bulk Carriers","PAN",200911,"Panama","Panama","3FIN9","CNR","Bureau Veritas (2009-09-00)Survey Type: Date: 2009-11  BV: Special Survey Date: 2019-12-13 Class Notation: I Bulk carrier BC-A ( maximum cargo density 3.00 t/m3; holds 2,4 may be empty) ESP, VeriSTAR-HULL ,  AUT-UMS , MON-SHAFT , INWATERSURVEY Service Restriction: Unrestricted navigation",63708,12.49,183.04,18159,"North of England","NULL","Pitiousa Shipping SA","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Filia Joy Shipping Co SA","Panama","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Yangzhou Dayang Shipbuilding",31117,53473,189.99,182,"Greece",230,"DF","Distillate Fuel"
"375","40.825466","28.889393","0.20000000298023224","294.5","198.0","0.0","0.0","2022-02-16 06:02:00",371999000,"75","FILIA JOY",2009,"China, People's Republic Of",20091104,"Bulk Carrier-Supra/Ultramax","Bulk Carriers","PAN",200911,"Panama","Panama","3FIN9","CNR","Bureau Veritas (2009-09-00)Survey Type: Date: 2009-11  BV: Special Survey Date: 2019-12-13 Class Notation: I Bulk carrier BC-A ( maximum cargo density 3.00 t/m3; holds 2,4 may be empty) ESP, VeriSTAR-HULL ,  AUT-UMS , MON-SHAFT , INWATERSURVEY Service Restriction: Unrestricted navigation",63708,12.49,183.04,18159,"North of England","NULL","Pitiousa Shipping SA","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Filia Joy Shipping Co SA","Panama","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Yangzhou Dayang Shipbuilding",31117,53473,189.99,182,"Greece",230,"DF","Distillate Fuel"
"376","40.881035","29.1738","0.10000000149011612","237.0","511.0","-128.0","1.0","2022-02-16 06:55:00",577363000,"75","YUZER 1",1982,"Germany, Federal Republic Of",20090425,"General Cargo <=4,999 dwt","Dry Cargo/Passenger","VAN",201611,"Vanuatu","Port Vila","YJWD6","","Bulgarski Koraben Registar (2016-11-00)",4250,4.68,85.69,1070,"Unknown",650000,"Y&S Shipping Co Int Co","Unknown","","Y&S Shipping Co Int Co","Y&S Shipping Co Int Co","Marshall Islands","Y&S Shipping Co Int Co","","Y&S Shipping Co Int Co","Sietas Schiffswerft Kg",1939,3300,87.97,85.37,"Turkey",".00","YY","Yes, But Type Not Known"
"377","40.389812","27.996159999999996","0.10000000149011612","201.8999938964844","191.0","0.0","1.0","2022-02-16 10:30:00",273298020,"75","NIKOLAI LEONOV",2021,"Russia",20210719,"General Cargo 5,000-9,999 dwt","Dry Cargo/Passenger","RUS",202107,"Russia","Taganrog","UBLV9","","Russian Maritime Register (2021-07-00)Survey Type: Date: 2021-07  RS: Special Survey Date: 2021-07-19 Class Notation: KM(*) Ice2 (hull, machinery) R2 AUT1-ICS BWM(T) CONT(deck and cargo hold) DG(bulk) DG(pack)",10812,4.53,".000",3455,"Unknown","NULL","Alpha LLC","JSC GTLK","Russia","Alpha LLC","JSC GTLK","Russia","Alpha LLC","Russia","Alpha LLC","Krasnoye Sormovo",6305,8157,141,137.08,"Russia",".00","DF","Distillate Fuel"
"378","40.82458","28.89365","0.30000001192092896","137.60000610351562","109.0","0.0","0.0","2022-02-16 09:17:00",371999000,"75","FILIA JOY",2009,"China, People's Republic Of",20091104,"Bulk Carrier-Supra/Ultramax","Bulk Carriers","PAN",200911,"Panama","Panama","3FIN9","CNR","Bureau Veritas (2009-09-00)Survey Type: Date: 2009-11  BV: Special Survey Date: 2019-12-13 Class Notation: I Bulk carrier BC-A ( maximum cargo density 3.00 t/m3; holds 2,4 may be empty) ESP, VeriSTAR-HULL ,  AUT-UMS , MON-SHAFT , INWATERSURVEY Service Restriction: Unrestricted navigation",63708,12.49,183.04,18159,"North of England","NULL","Pitiousa Shipping SA","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Filia Joy Shipping Co SA","Panama","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Yangzhou Dayang Shipbuilding",31117,53473,189.99,182,"Greece",230,"DF","Distillate Fuel"
"379","40.751034000000004","28.915613","0.4000000059604645","154.89999389648438","287.0","0.0","0.0","2022-02-16 10:07:00",538008955,"75","DORYSIA",2010,"Korea, South",20101026,"Bulk Carrier-Large Handy","Bulk Carriers","MAI",202005,"Marshall Islands","Majuro","V7A2947","Jlauritzen","Det Norske Veritas (2020-05-00) NV: Special Survey Date: 2020-12-24 Class Notation: (+) 1A1 Bulk carrier BC(A) BIS BWM(E(s)) COAT-PSPC(B) CSR E0 ESP Grab(20 t) Holds(2,4)may be empty TMON",45337,10.918,178.93,12334,"Gard",8900000,"Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","","Caliber Maritime SA-LIB","Hyundai Mipo Dockyard Co Ltd",22691,36863,187,178,"Greece",160,"DF","Distillate Fuel"
"380","40.75054","28.915934000000004","0.4000000059604645","147.3000030517578","289.0","0.0","0.0","2022-02-16 10:12:00",538008955,"75","DORYSIA",2010,"Korea, South",20101026,"Bulk Carrier-Large Handy","Bulk Carriers","MAI",202005,"Marshall Islands","Majuro","V7A2947","Jlauritzen","Det Norske Veritas (2020-05-00) NV: Special Survey Date: 2020-12-24 Class Notation: (+) 1A1 Bulk carrier BC(A) BIS BWM(E(s)) COAT-PSPC(B) CSR E0 ESP Grab(20 t) Holds(2,4)may be empty TMON",45337,10.918,178.93,12334,"Gard",8900000,"Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","","Caliber Maritime SA-LIB","Hyundai Mipo Dockyard Co Ltd",22691,36863,187,178,"Greece",160,"DF","Distillate Fuel"
"381","41.410515000000004","29.026816999999998","0.10000000149011612","79.0","59.0","0.0","0.0","2022-02-16 23:26:00",374540000,"75","HTK NEPTUNE",2007,"Japan",20070807,"Bulk Carrier-Large Handy","Dry Cargo/Passenger","PAN",201812,"Panama","Panama","3FDD","Falcon","Nippon Kaiji Kyokai (2007-08-00)Survey Type: Date: 2007-08  NK: Special Survey Date: 2020-06-06 Class Notation: NS(BC-A)(IWS)(IHM) /MNSCHG, MPP, LSA, RCF, AFS, BWM",45382,10.85,170.58,12674,"West of England",11500000,"HTK Shipping & Import Export","Vietnam Govt","Vietnam","HTK Shipping & Import Export","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Saiki Heavy Industries Co Ltd",22698,37426,177.8,169.8,"Vietnam",285,"DF","Distillate Fuel"
"382","41.410534000000006","29.0271","0.10000000149011612","70.0","63.0","0.0","0.0","2022-02-16 23:35:00",374540000,"75","HTK NEPTUNE",2007,"Japan",20070807,"Bulk Carrier-Large Handy","Dry Cargo/Passenger","PAN",201812,"Panama","Panama","3FDD","Falcon","Nippon Kaiji Kyokai (2007-08-00)Survey Type: Date: 2007-08  NK: Special Survey Date: 2020-06-06 Class Notation: NS(BC-A)(IWS)(IHM) /MNSCHG, MPP, LSA, RCF, AFS, BWM",45382,10.85,170.58,12674,"West of England",11500000,"HTK Shipping & Import Export","Vietnam Govt","Vietnam","HTK Shipping & Import Export","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Saiki Heavy Industries Co Ltd",22698,37426,177.8,169.8,"Vietnam",285,"DF","Distillate Fuel"
"383","40.934093","28.95008","9.699999809265137","312.1000061035156","511.0","","","2022-02-16 22:47:00",271040397,"75","KAYA BENER",2010,"Turkey",20100225,"Tanker-<=4,999dwt","Tankers","TRK",201002,"Turkey","Istanbul","TCXV4","","Turk Loydu (2016-06-00)Survey Type: Date: 2010-02",0,4.39,".000",370,"Unknown","NULL","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","Turkey","ABG Tarim ve Deniz","Hat-San Shipyard",975,1524,64.43,59.15,"Turkey",".00","YY","Yes, But Type Not Known"
"384","40.83311","28.894965999999997","0.5","189.8000030517578","164.0","0.0","0.0","2022-02-16 08:42:00",371999000,"75","FILIA JOY",2009,"China, People's Republic Of",20091104,"Bulk Carrier-Supra/Ultramax","Bulk Carriers","PAN",200911,"Panama","Panama","3FIN9","CNR","Bureau Veritas (2009-09-00)Survey Type: Date: 2009-11  BV: Special Survey Date: 2019-12-13 Class Notation: I Bulk carrier BC-A ( maximum cargo density 3.00 t/m3; holds 2,4 may be empty) ESP, VeriSTAR-HULL ,  AUT-UMS , MON-SHAFT , INWATERSURVEY Service Restriction: Unrestricted navigation",63708,12.49,183.04,18159,"North of England","NULL","Pitiousa Shipping SA","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Filia Joy Shipping Co SA","Panama","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Yangzhou Dayang Shipbuilding",31117,53473,189.99,182,"Greece",230,"DF","Distillate Fuel"
"385","40.915913","28.9778","10.399999618530273","315.29998779296875","511.0","","","2022-02-16 22:37:00",271040397,"75","KAYA BENER",2010,"Turkey",20100225,"Tanker-<=4,999dwt","Tankers","TRK",201002,"Turkey","Istanbul","TCXV4","","Turk Loydu (2016-06-00)Survey Type: Date: 2010-02",0,4.39,".000",370,"Unknown","NULL","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","Turkey","ABG Tarim ve Deniz","Hat-San Shipyard",975,1524,64.43,59.15,"Turkey",".00","YY","Yes, But Type Not Known"
"386","40.740448","27.960396000000003","11.5","91.8000030517578","90.0","0.0","0.0","2022-02-16 22:49:00",271043916,"75","T. ESRA",2014,"Turkey",20140919,"","Tankers","TRK",201409,"Turkey","Istanbul","TCA3220","","Det Norske Veritas (2014-09-00)Survey Type: Date: 2014-09  NV: Special Survey Date: 2019-12-27 Class Notation: (+) 1A1 Tanker for asphalt/bitumen and oil products with FP above 60oC BIS BWM(T) CCO COAT-PSPC(V; B) E0 ECA(SOx-A) ESP HL(1.3) HOT(250 oC. ) NAUT(OC) Recyclable TMON VCS(1, B)",0,9.266,149.924,4702,"Skuld","NULL","Ditas Deniz Isletmeciligi","TUPRAS","Turkey","Ditas Deniz Isletmeciligi","Kartal Tankercilik AS","Turkey","Ditas Deniz Isletmeciligi","Turkey","Ditas Deniz Isletmeciligi","RMK Marine Gemi Yapim",15674,19968,156.453,147.853,"Turkey",101,"DF","Distillate Fuel"
"387","40.785767","28.898559999999996","0.30000001192092896","118.4000015258789","43.0","0.0","0.0","2022-02-16 23:02:00",538008955,"75","DORYSIA",2010,"Korea, South",20101026,"Bulk Carrier-Large Handy","Bulk Carriers","MAI",202005,"Marshall Islands","Majuro","V7A2947","Jlauritzen","Det Norske Veritas (2020-05-00) NV: Special Survey Date: 2020-12-24 Class Notation: (+) 1A1 Bulk carrier BC(A) BIS BWM(E(s)) COAT-PSPC(B) CSR E0 ESP Grab(20 t) Holds(2,4)may be empty TMON",45337,10.918,178.93,12334,"Gard",8900000,"Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","Banc of America Leasing","United States Of America","Caliber Maritime SA-LIB","","Caliber Maritime SA-LIB","Hyundai Mipo Dockyard Co Ltd",22691,36863,187,178,"Greece",160,"DF","Distillate Fuel"
"388","40.741904999999996","29.33083","8.399999618530272","268.5","267.0","0.0","1.0","2022-02-16 23:08:00",677017000,"75","SIBEL J",1979,"Germany, Federal Republic Of",19791229,"General Cargo <=4,999 dwt","Dry Cargo/Passenger","TZZ",201202,"Tanzania (Zanzibar)","Zanzibar","5IM270","","Maritime Lloyd Georgia (2017-01-00)",4946,4.22,".000",1518,"Unknown","NULL","Unknown","Unknown","","Karina Shipping Ltd-MAI","Karina Shipping Ltd-MAI","Marshall Islands","Karina Shipping Ltd-MAI","","Unknown","Elsflether Ag",2862,3128,98.71,91.88,"Marshall Islands",".00","YY","Yes, But Type Not Known"
"389","40.808279999999996","28.889227","0.20000000298023224","131.30000305175778","313.0","0.0","0.0","2022-02-16 13:17:00",371999000,"75","FILIA JOY",2009,"China, People's Republic Of",20091104,"Bulk Carrier-Supra/Ultramax","Bulk Carriers","PAN",200911,"Panama","Panama","3FIN9","CNR","Bureau Veritas (2009-09-00)Survey Type: Date: 2009-11  BV: Special Survey Date: 2019-12-13 Class Notation: I Bulk carrier BC-A ( maximum cargo density 3.00 t/m3; holds 2,4 may be empty) ESP, VeriSTAR-HULL ,  AUT-UMS , MON-SHAFT , INWATERSURVEY Service Restriction: Unrestricted navigation",63708,12.49,183.04,18159,"North of England","NULL","Pitiousa Shipping SA","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Filia Joy Shipping Co SA","Panama","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Yangzhou Dayang Shipbuilding",31117,53473,189.99,182,"Greece",230,"DF","Distillate Fuel"
"390","40.84235","29.174266999999997","7.300000190734862","7.0","511.0","-128.0","0.0","2022-02-16 00:02:00",577363000,"75","YUZER 1",1982,"Germany, Federal Republic Of",20090425,"General Cargo <=4,999 dwt","Dry Cargo/Passenger","VAN",201611,"Vanuatu","Port Vila","YJWD6","","Bulgarski Koraben Registar (2016-11-00)",4250,4.68,85.69,1070,"Unknown",650000,"Y&S Shipping Co Int Co","Unknown","","Y&S Shipping Co Int Co","Y&S Shipping Co Int Co","Marshall Islands","Y&S Shipping Co Int Co","","Y&S Shipping Co Int Co","Sietas Schiffswerft Kg",1939,3300,87.97,85.37,"Turkey",".00","YY","Yes, But Type Not Known"
"391","40.794098","28.90765","1.100000023841858","71.0999984741211","36.0","0.0","0.0","2022-02-16 20:52:00",371999000,"75","FILIA JOY",2009,"China, People's Republic Of",20091104,"Bulk Carrier-Supra/Ultramax","Bulk Carriers","PAN",200911,"Panama","Panama","3FIN9","CNR","Bureau Veritas (2009-09-00)Survey Type: Date: 2009-11  BV: Special Survey Date: 2019-12-13 Class Notation: I Bulk carrier BC-A ( maximum cargo density 3.00 t/m3; holds 2,4 may be empty) ESP, VeriSTAR-HULL ,  AUT-UMS , MON-SHAFT , INWATERSURVEY Service Restriction: Unrestricted navigation",63708,12.49,183.04,18159,"North of England","NULL","Pitiousa Shipping SA","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Filia Joy Shipping Co SA","Panama","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Yangzhou Dayang Shipbuilding",31117,53473,189.99,182,"Greece",230,"DF","Distillate Fuel"
"392","40.970005","28.920206","0.20000000298023224","44.099998474121094","166.0","8.0","1.0","2022-02-16 10:20:00",371773000,"75","RHINE RIVER",2007,"Russia",20070615,"General Cargo 5,000-9,999 dwt","Dry Cargo/Passenger","PAN",202008,"Panama","Panama","H8WV","","Registro Italiano Navale (2020-08-00)Survey Type: Date: 2007-06  RI: Special Survey Date: 2017-06-29 Class Notation: C+ general cargo ship - double side-skin MN (+)AUT-UMS ICE CLASS IC Service Restriction: Special International",8612,5.06,117.06,2841,"Unknown","NULL","Rivers Group Denizcilik Ltd","Rivers Group Denizcilik Ltd","Turkey","Rivers Group Denizcilik Ltd","Rhine River Shipping Corp","Panama","Rivers Group Denizcilik Ltd","Turkey","Rivers Group Denizcilik Ltd","Krasnoye Sormovo",4922,6354,121.7,114.22,"Turkey",103,"DF","Distillate Fuel"
"393","40.798565","28.89977","1.0","189.8999938964844","208.0","0.0","0.0","2022-02-16 20:27:00",371999000,"75","FILIA JOY",2009,"China, People's Republic Of",20091104,"Bulk Carrier-Supra/Ultramax","Bulk Carriers","PAN",200911,"Panama","Panama","3FIN9","CNR","Bureau Veritas (2009-09-00)Survey Type: Date: 2009-11  BV: Special Survey Date: 2019-12-13 Class Notation: I Bulk carrier BC-A ( maximum cargo density 3.00 t/m3; holds 2,4 may be empty) ESP, VeriSTAR-HULL ,  AUT-UMS , MON-SHAFT , INWATERSURVEY Service Restriction: Unrestricted navigation",63708,12.49,183.04,18159,"North of England","NULL","Pitiousa Shipping SA","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Filia Joy Shipping Co SA","Panama","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Yangzhou Dayang Shipbuilding",31117,53473,189.99,182,"Greece",230,"DF","Distillate Fuel"
"394","41.19729","29.10544","8.800000190734863","221.0","511.0","","","2022-02-16 06:34:00",271040397,"75","KAYA BENER",2010,"Turkey",20100225,"Tanker-<=4,999dwt","Tankers","TRK",201002,"Turkey","Istanbul","TCXV4","","Turk Loydu (2016-06-00)Survey Type: Date: 2010-02",0,4.39,".000",370,"Unknown","NULL","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","ATY Gemi Isletmeciligi Sanayi","Turkey","ABG Tarim ve Deniz","Turkey","ABG Tarim ve Deniz","Hat-San Shipyard",975,1524,64.43,59.15,"Turkey",".00","YY","Yes, But Type Not Known"
"395","41.409485","29.02955","0.10000000149011612","335.0","109.0","0.0","0.0","2022-02-16 21:12:00",374540000,"75","HTK NEPTUNE",2007,"Japan",20070807,"Bulk Carrier-Large Handy","Dry Cargo/Passenger","PAN",201812,"Panama","Panama","3FDD","Falcon","Nippon Kaiji Kyokai (2007-08-00)Survey Type: Date: 2007-08  NK: Special Survey Date: 2020-06-06 Class Notation: NS(BC-A)(IWS)(IHM) /MNSCHG, MPP, LSA, RCF, AFS, BWM",45382,10.85,170.58,12674,"West of England",11500000,"HTK Shipping & Import Export","Vietnam Govt","Vietnam","HTK Shipping & Import Export","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Saiki Heavy Industries Co Ltd",22698,37426,177.8,169.8,"Vietnam",285,"DF","Distillate Fuel"
"396","40.80692","28.915709999999997","1.7999999523162842","23.70000076293945","10.0","-127.0","0.0","2022-02-16 21:32:00",371999000,"75","FILIA JOY",2009,"China, People's Republic Of",20091104,"Bulk Carrier-Supra/Ultramax","Bulk Carriers","PAN",200911,"Panama","Panama","3FIN9","CNR","Bureau Veritas (2009-09-00)Survey Type: Date: 2009-11  BV: Special Survey Date: 2019-12-13 Class Notation: I Bulk carrier BC-A ( maximum cargo density 3.00 t/m3; holds 2,4 may be empty) ESP, VeriSTAR-HULL ,  AUT-UMS , MON-SHAFT , INWATERSURVEY Service Restriction: Unrestricted navigation",63708,12.49,183.04,18159,"North of England","NULL","Pitiousa Shipping SA","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Filia Joy Shipping Co SA","Panama","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Yangzhou Dayang Shipbuilding",31117,53473,189.99,182,"Greece",230,"DF","Distillate Fuel"
"399","41.40935","29.029633","0.10000000149011612","346.0","105.0","0.0","0.0","2022-02-16 21:07:00",374540000,"75","HTK NEPTUNE",2007,"Japan",20070807,"Bulk Carrier-Large Handy","Dry Cargo/Passenger","PAN",201812,"Panama","Panama","3FDD","Falcon","Nippon Kaiji Kyokai (2007-08-00)Survey Type: Date: 2007-08  NK: Special Survey Date: 2020-06-06 Class Notation: NS(BC-A)(IWS)(IHM) /MNSCHG, MPP, LSA, RCF, AFS, BWM",45382,10.85,170.58,12674,"West of England",11500000,"HTK Shipping & Import Export","Vietnam Govt","Vietnam","HTK Shipping & Import Export","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Vietnam","HTK Shipping & Import Export","Saiki Heavy Industries Co Ltd",22698,37426,177.8,169.8,"Vietnam",285,"DF","Distillate Fuel"
"400","40.769966","29.591284","6.699999809265138","237.1999969482422","233.0","0.0","1.0","2022-02-16 21:38:00",677017000,"75","SIBEL J",1979,"Germany, Federal Republic Of",19791229,"General Cargo <=4,999 dwt","Dry Cargo/Passenger","TZZ",201202,"Tanzania (Zanzibar)","Zanzibar","5IM270","","Maritime Lloyd Georgia (2017-01-00)",4946,4.22,".000",1518,"Unknown","NULL","Unknown","Unknown","","Karina Shipping Ltd-MAI","Karina Shipping Ltd-MAI","Marshall Islands","Karina Shipping Ltd-MAI","","Unknown","Elsflether Ag",2862,3128,98.71,91.88,"Marshall Islands",".00","YY","Yes, But Type Not Known"
"401","40.80358","28.915259999999996","1.6000000238418581","11.399999618530273","5.0","0.0","0.0","2022-02-16 21:22:00",371999000,"75","FILIA JOY",2009,"China, People's Republic Of",20091104,"Bulk Carrier-Supra/Ultramax","Bulk Carriers","PAN",200911,"Panama","Panama","3FIN9","CNR","Bureau Veritas (2009-09-00)Survey Type: Date: 2009-11  BV: Special Survey Date: 2019-12-13 Class Notation: I Bulk carrier BC-A ( maximum cargo density 3.00 t/m3; holds 2,4 may be empty) ESP, VeriSTAR-HULL ,  AUT-UMS , MON-SHAFT , INWATERSURVEY Service Restriction: Unrestricted navigation",63708,12.49,183.04,18159,"North of England","NULL","Pitiousa Shipping SA","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Filia Joy Shipping Co SA","Panama","Pitiousa Shipping SA","Greece","Pitiousa Shipping SA","Yangzhou Dayang Shipbuilding",31117,53473,189.99,182,"Greece",230,"DF","Distillate Fuel"
